date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-04-24,22.3,15.799999999999999,18.3375,0,0,0.0,0,0,0.0,0.32145153229529033,0.16
2023-04-25,25.299999999999994,15.0,18.3875,0,0,0.0,0,0,0.0,0.3256792385411387,0.16
2023-04-26,23.299999999999997,16.8,19.349999999999998,0,0,0.0,0,0,0.0,0.006976900193463588,0.16
2023-04-27,23.7,16.900000000000002,19.245833333333334,0,0,0.0,0,0,0.0,0.060837985099529604,0.16
2023-04-28,18.8,15.999999999999998,16.9375,0,0,0.0,0,0,0.0,0.10968154034046788,0.16
2023-04-29,20.500000000000004,15.900000000000002,17.691666666666666,0,0,0.0,0,0,0.0,0.12732008864641495,0.16
2023-04-30,24.099999999999998,17.5,19.8875,0,0,0.0,0,0,0.0,-0.6363324974066863,0.16
2023-05-01,25.600000000000005,18.100000000000005,20.4125,0,0,0.0,0,0,0.0,1.0490024455270652,0.48
2023-05-02,24.4,17.799999999999994,20.083333333333332,0,0,0.0,0,0,0.0,1.0411122560606216,0.48
2023-05-03,25.900000000000002,17.3,20.2,0,0,0.0,0,0,0.0,1.0411122560606216,0.48
2023-05-04,27.752171492015623,18.100000000000005,21.68337049144269,0,0,0.0,0,0,0.0,1.0411122560606216,0.48
2023-05-05,25.900000000000002,17.399999999999995,20.587500000000002,0,0,0.0,0,0,0.0,1.0437452754603418,0.48
2023-05-06,25.1,18.400000000000002,20.858333333333334,0,0,0.0,0,0,0.0,1.0437452754603418,0.48
2023-05-07,26.199999999999996,17.7,20.866666666666667,0,0,0.0,0,0,0.0,0.8517226199696692,0.48
2023-05-08,28.190968159111108,18.000000000000004,21.890444927991854,0,0,0.0,0,0,0.0,0.8112608288891086,0.48
2023-05-09,26.000000000000007,17.9,20.5375,0,0,0.0,0,0,0.0,0.8402380841817374,0.48
2023-05-10,19.6,16.7,18.71666666666667,0,0,0.0,0,0,0.0,0.8942663084630774,0.48
2023-05-11,22.799999999999994,16.2,17.995833333333334,0,0,0.0,0,0,0.0,0.8998778589771178,0.48
2023-05-12,18.500000000000007,14.000000000000002,15.620833333333332,0,0,0.0,0,0,0.0,0.8998778589771178,0.48
2023-05-13,19.300000000000004,12.5,14.654166666666667,0,0,0.0,0,0,0.0,0.8970738436300774,0.48
2023-05-14,22.3,12.3,15.8125,0,0,0.0,0,0,0.0,0.6570724475114401,0.48
2023-05-15,21.000000000000007,12.3,15.570833333333333,0,0,0.0,0,0,0.0,0.641329229991869,0.48
2023-05-16,21.4,10.2,15.137500000000001,0,0,0.0,0,0,0.0,0.6349981558901844,0.48
2023-05-17,18.400000000000002,12.899999999999999,15.454166666666666,0,0,0.0,0,0,0.0,0.5771190387882738,0.48
2023-05-18,18.6,13.2,15.433333333333332,0,0,0.0,0,0,0.0,-0.42051650504408755,0.48
2023-05-19,20.500000000000004,12.2,15.366666666666667,0,0,0.0,0,0,0.0,-1.1746890414880518,0.48
2023-05-20,22.9,12.0,15.945833333333333,0,0,0.0,0,0,0.0,-1.1638235166260464,0.48
2023-05-21,22.9,12.4,16.604166666666668,0,0,0.0,0,0,0.0,-1.1530681708271473,0.48
2023-05-22,24.8,13.400000000000002,17.745833333333334,0,0,0.0,0,0,0.0,-1.1424203354123086,0.48
2023-05-23,23.400000000000002,14.099999999999998,18.208333333333332,0,0,0.0,0,0,0.0,-1.1318774411369135,0.48
2023-05-24,24.300000000000004,14.099999999999998,18.079166666666666,0,0,0.0,0,0,0.0,-1.1318774411369135,0.48
2023-05-25,24.300000000000004,16.2,18.916666666666668,0,0,0.0,0,0,0.0,-1.1318774411369135,0.48
2023-05-26,26.5,16.2,19.758592807637317,0,0,0.0,0,0,0.0,-1.1424203354123086,0.48
2023-05-27,26.740697819704515,16.5,20.722529075821022,0,0,0.0,0,0,0.0,-1.29007412133098,0.48
2023-05-28,21.2,16.4,18.104166666666668,0,0,0.0,0,0,0.0,-1.366183515582767,0.48
2023-05-29,17.1,15.0,15.558333333333332,0,0,0.0,0,0,0.0,-1.3023623007615834,0.48
2023-05-30,16.5,14.099999999999998,15.008333333333333,0,0,0.0,0,0,0.0,-1.29007412133098,0.48
2023-05-31,16.7,15.1,15.5875,0,0,0.0,0,0,0.0,0.06367105994877942,0.48
2023-06-01,18.500000000000007,14.3,16.208333333333332,0,0,0.0,0,0,0.0,-0.6613277117960171,0.77
2023-06-02,20.100000000000005,13.899999999999997,16.5,0,0,0.0,0,0,0.0,-0.6613277117960171,0.77
2023-06-03,23.000000000000004,13.8,17.3,0,0,0.0,0,0,0.0,-0.6613277117960171,0.77
2023-06-04,25.0,13.2,17.604166666666668,0,0,0.0,0,0,0.0,-0.6613277117960171,0.77
2023-06-05,22.5,12.4,16.454166666666666,0,0,0.0,0,0,0.0,-0.6225764367481718,0.77
2023-06-06,20.4,12.800000000000002,16.12272727272727,0,0,0.0,0,0,0.0,-0.6032714629088353,0.77
2023-06-07,24.4,13.600000000000001,20.018181818181816,0,0,0.0,0,0,0.0,-0.5840132015995068,0.77
2023-06-08,24.2,15.2,20.115384615384617,0,0,0.0,0,0,0.0,-0.798473229543393,0.77
2023-06-09,25.799999999999997,14.5,20.766666666666666,0,0,0.0,0,0,0.0,-1.1626287694131816,0.77
2023-06-10,26.199999999999996,15.799999999999999,21.041176470588233,0,0,0.0,0,0,0.0,-1.2041763350808457,0.77
2023-06-11,26.599999999999998,16.5,22.155909738145,0,0,0.0,0,0,0.0,-1.2041763350808457,0.77
2023-06-12,23.8,15.7,18.470833333333335,0,0,0.0,0,0,0.0,-1.2250355810805984,0.77
2023-06-13,16.900000000000002,14.7,15.808333333333332,0,0,0.0,0,0,0.0,-1.1833741990892173,0.77
2023-06-14,16.2,13.600000000000001,14.820833333333333,0,0,0.0,0,0,0.0,-0.04460885928764925,0.77
2023-06-15,17.7,14.9,16.104166666666668,0,0,0.0,0,0,0.0,0.956233514801662,0.77
2023-06-16,17.3,11.9,14.733333333333334,0,0,0.0,0,0,0.0,0.9882293229327027,0.77
2023-06-17,17.799999999999994,7.699999999999999,12.266666666666666,0,0,0.0,0,0,0.0,1.0041844618700864,0.77
2023-06-18,17.399999999999995,11.399999999999997,13.7875,0,0,0.0,0,0,0.0,1.0041844618700864,0.77
2023-06-19,17.0,12.2,14.154166666666667,0,0,0.0,0,0,0.0,0.9882293229327027,0.77
2023-06-20,20.600000000000005,13.2,15.8375,0,0,0.0,0,0,0.0,0.956233514801662,0.77
